classifier,C,alpha,kernel,max_depth,n_estimators,n_neighbors,gamma,objective,elapsed_sec
AdaBoost,nan,nan,NA,nan,1307,nan,nan,0.9787234042553191,911.4477579593658
AdaBoost,nan,nan,NA,nan,435,nan,nan,0.973404255319149,916.0162169933319
AdaBoost,nan,nan,NA,nan,311,nan,nan,0.9787234042553191,920.3458120822906
AdaBoost,nan,nan,NA,nan,704,nan,nan,0.973404255319149,926.0112099647522
AdaBoost,nan,nan,NA,nan,1873,nan,nan,0.9787234042553191,933.3678061962128
AdaBoost,nan,nan,NA,nan,1292,nan,nan,0.9787234042553191,940.1952390670776
AdaBoost,nan,nan,NA,nan,1312,nan,nan,0.9787234042553191,946.4926152229309
AdaBoost,nan,nan,NA,nan,1264,nan,nan,0.9787234042553191,953.2567269802094
AdaBoost,nan,nan,NA,nan,1041,nan,nan,0.9787234042553191,960.9355981349945
AdaBoost,nan,nan,NA,nan,1348,nan,nan,0.973404255319149,967.2166209220886
AdaBoost,nan,nan,NA,nan,1811,nan,nan,0.9787234042553191,974.4708411693573
AdaBoost,nan,nan,NA,nan,1810,nan,nan,0.9787234042553191,981.6805040836334
AdaBoost,nan,nan,NA,nan,1384,nan,nan,0.973404255319149,988.049987077713
AdaBoost,nan,nan,NA,nan,882,nan,nan,0.973404255319149,993.4620862007141
AdaBoost,nan,nan,NA,nan,1406,nan,nan,0.9787234042553191,1000.4770019054413
AdaBoost,nan,nan,NA,nan,903,nan,nan,0.9787234042553191,1008.4958860874176
AdaBoost,nan,nan,NA,nan,432,nan,nan,0.9787234042553191,1013.0755949020386
AdaBoost,nan,nan,NA,nan,1599,nan,nan,0.973404255319149,1019.8720710277557
RandomForest,nan,nan,NA,3,219,nan,nan,0.9414893617021277,1024.5733470916748
RandomForest,nan,nan,NA,3,23,nan,nan,0.9468085106382979,1028.5798110961914
RandomForest,nan,nan,NA,97,13,nan,nan,0.9414893617021277,1033.1782500743866
AdaBoost,nan,nan,NA,nan,1300,nan,nan,0.9787234042553191,1039.4785571098328
RandomForest,nan,nan,NA,81,1,nan,nan,0.8723404255319149,1043.3338339328766
RandomForest,nan,nan,NA,81,70,nan,nan,0.9574468085106383,1047.337236881256
RandomForest,nan,nan,NA,91,1,nan,nan,0.8723404255319149,1051.2147681713104
SVC,0.47411433639517414,nan,linear,nan,nan,nan,nan,0.9627659574468085,1055.693753004074
RandomForest,nan,nan,NA,76,6,nan,nan,0.9148936170212766,1059.6764950752258
RandomForest,nan,nan,NA,88,33,nan,nan,0.9414893617021277,1063.7011060714722
AdaBoost,nan,nan,NA,nan,2,nan,nan,0.8882978723404256,1067.4961309432983
SVC,0.17548160569168933,nan,rbf,nan,nan,nan,0.412118557953798,0.6436170212765957,1071.2635612487793
SVC,0.40412786647383275,nan,sigmoid,nan,nan,nan,0.025067329968895255,0.6436170212765957,1075.037966966629
SVC,3.1239841304082345e-05,nan,linear,nan,nan,nan,nan,0.9787234042553191,1078.7349290847778
